2015-11-12 09:51:35 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:35 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:35 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:35 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:35 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:36 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:36 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:37 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-13 08:17:04 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Cliente\crear.php 18

2015-11-17 08:00:49 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:01:20 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:01:40 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:01:41 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:01:41 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:03:09 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:06:43 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:08:26 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:09:41 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:09:42 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:09:42 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:09:42 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:09:46 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:12:39 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:12:53 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:12:53 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:19:42 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:19:42 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:19:43 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:19:43 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:19:43 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:19:43 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:19:43 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:20:16 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:20:17 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:20:18 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:20:18 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:20:31 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:20:32 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 08:20:32 (CST)      No existe el modelo models\RegistrarlibroModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:40:14 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:40:40 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:40:40 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:40:41 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:40:41 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:41:20 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:41:20 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:41:20 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:41:20 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:17 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:18 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:18 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:18 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:18 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:19 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:19 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:19 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:19 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:19 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:24 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:42:32 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:43:10 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:43:10 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

2015-11-17 09:43:10 (CST)      No existe el modelo models\PrestamoModel.php C:\Apache24\htdocs\Biblioteca\libs\Controller.php 33

